"Sr. No.","State","work","work_id","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7963","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260479","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7964","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260480","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7965","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260482","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7966","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260481","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7967","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260469","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7968","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260470","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7969","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260474","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7970","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260475","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7971","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260477","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7972","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260485","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7973","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260487","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7974","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260486","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7975","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260484","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7976","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260483","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
"7977","Jharkhand","Purchase of books and periodicals for libraries/digitization of library books","WS/MP18075/2026-2027/260498","LOHARDAGA(DEPUTY COMMISSIONER LOHARDAGA_IDA)","SUKHDEO BHAGAT","LOHARDAGA(ST)","22-Apr-2026","VIDYA VIHAR","Payment Success","200000"
