"Sr. No.","State","work","work_id","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"107","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171611","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"108","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171612","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"109","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171613","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"110","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171614","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"111","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171392","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"112","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171393","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"113","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171592","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"114","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171610","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"115","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182256","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"116","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/172029","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"117","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171728","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"118","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171724","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"119","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171727","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"120","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182254","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"121","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182255","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"122","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182258","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"123","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182259","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"124","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182263","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"125","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182264","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"126","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/183845","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"127","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/182257","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"128","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187588","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"129","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187595","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"130","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171619","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"131","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171622","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"132","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171626","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"133","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171624","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"134","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171625","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"135","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187362","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"136","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186926","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"137","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186942","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"138","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187363","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"139","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187364","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"140","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187365","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"141","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186925","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"142","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186924","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"143","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184343","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"144","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184543","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"145","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184472","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"146","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184544","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"147","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186921","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"148","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186922","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"149","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186923","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"150","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184339","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"151","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184342","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"152","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18350/2025-2026/182265","BOUDH(District Collector Boudh_IDA)","SUKANTA KUMAR PANIGRAHI","KANDHAMAL","17-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"153","Odisha","Construction of public libraries and reading rooms","WS/MP300/2025-2026/199515","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","13-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","2923"
"154","Odisha","Construction of community centers and community halls","WS/MP18148/2025-2026/170300","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","24-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","500"
"155","Odisha","Construction of boundary walls of existing public and community buildings","WS/MP18148/2025-2026/198393","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","24-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","3000"
"156","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP337/2024-2025/159916","UDUPI(DEPUTY COMMISSIONER UDUPI_IDA)","Shri B Y Raghavendra","SHIMOGA","20-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","112286"
"157","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18263/2025-2026/173840","CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR)","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","18-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","75000"
"158","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP380/2025-2026/243217","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","21-Aug-2026","VIKRANT CEMENT STORE","Payment In-Progress","47700"
"159","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP380/2025-2026/243217","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","21-Aug-2026","VIKRANT CEMENT STORE","Payment In-Progress","24520"
"160","Kerala","Lighting of public spaces","WS/MP346/2025-2026/183300","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Adv Adoor Prakash","ATTINGAL","24-Aug-2026","ALLUMINA ELECTRONICS","Payment In-Progress","242517"
"161","Kerala","Lighting of public spaces","WS/MP346/2025-2026/243160","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Adv Adoor Prakash","ATTINGAL","24-Aug-2026","ALLUMINA ELECTRONICS","Payment In-Progress","242517"
"162","Kerala","Lighting of public spaces","WS/MP346/2025-2026/221340","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Adv Adoor Prakash","ATTINGAL","24-Aug-2026","ALLUMINA ELECTRONICS","Payment In-Progress","250064"
"163","Kerala","Lighting of public spaces","WS/MP346/2025-2026/183292","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Adv Adoor Prakash","ATTINGAL","24-Aug-2026","ALLUMINA ELECTRONICS","Payment In-Progress","242517"
"164","West Bengal","Construction of stadiums","WS/MP18272/2026-2027/222318","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","KALIPADA SAREN","JHARGRAM(ST)","17-Aug-2026","RAJAT SUBHRA MANDAL","Payment In-Progress","4881631"
"165","Punjab","Purchase of hospital equipment","WS/MP18314/2026-2027/273533","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","17-Aug-2026","Medica Enterprises","Payment In-Progress","2092800"
"166","Kerala","Purchase of vans and buses for educational institutions","WS/MP18305/2026-2027/302713","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","E.T. MOHAMMED BASHEER","MALAPPURAM","24-Aug-2026","SML ISUZU LTD","Payment In-Progress","1768000"
"167","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","26-Aug-2026","Sidhu Cement Store Fatehgarh Channa","Payment In-Progress","44630"
"168","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","26-Aug-2026","Sidhu Cement Store Fatehgarh Channa","Payment In-Progress","17920"
"169","Punjab","Purchase of mobile water tankers","WS/MP18311/2026-2027/287163","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","10-Aug-2026","DASHMESH ENGG WORKS","Payment In-Progress","350000"
"170","Jharkhand","Installing tube-wells and borewells","WS/MP334/2025-2026/223476","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","26-Aug-2026","JUNIOR ENGINEER RDSD BOKARO","Payment In-Progress","70000"
"171","Jharkhand","Installing tube-wells and borewells","WS/MP334/2025-2026/223481","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","26-Aug-2026","JUNIOR ENGINEER RDSD BOKARO","Payment In-Progress","25000"
"172","Jharkhand","Installing tube-wells and borewells","WS/MP334/2025-2026/211258","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","26-Aug-2026","JUNIOR ENGINEER RDSD BOKARO","Payment In-Progress","25000"
"173","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP334/2025-2026/211607","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","Shri Chandra Prakash Choudhary","GIRIDIH","26-Aug-2026","JUNIOR ENGINEER RDSD BOKARO","Payment In-Progress","25000"
"174","Karnataka","Construction of community centers and community halls","WS/MP18086/2026-2027/292888","HASSAN(DEPUTY COMMISSIONER HASSAN_IDA)","SHREYAS. M. PATEL","HASSAN","24-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"175","Odisha","Construction of community centers and community halls","WS/MP300/2025-2026/226393","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt Aparajita Sarangi","BHUBANESWAR","25-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"176","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272770","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","25-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"177","Odisha","Construction of public irrigation facilities","WS/MP18150/2026-2027/272840","SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA)","DHARMENDRA PRADHAN","SAMBALPUR","21-Aug-2026","MEMBER SECY OB AND OC WWB BBSR","Payment In-Progress","7000"
"178","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18082/2025-2026/187502","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","10-Aug-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","250000"
"179","Karnataka","Construction of community centers and community halls","WS/MP18093/2026-2027/228510","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","02-Jul-2026","KRIDL BHUSIRI ACCOUNT WORKS","Payment In-Progress","750000"
"180","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP856/2025-2026/231387","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Rajnath Singh","LUCKNOW","08-Aug-2026","MRK CONSTRUCTIONS","Payment In-Progress","133800"
"181","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","26-Aug-2026","Dhanaula BKO","Payment In-Progress","6560"
"182","Tamil Nadu","Lighting of public spaces","WS/MP18179/2026-2027/245271","Mayiladuthurai(District Collector Mayiladuthurai_IDA)","SUDHA R","MAYILADUTHURAI","24-Aug-2026","SRI SAI ENTERPRISES","Payment In-Progress","900000"
"183","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP746/2025-2026/212906","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Kani K Navas","RAMANATHAPURAM","01-Apr-2026","Nava India Pathipagam","Payment In-Progress","500000"
"184","Karnataka","Setting up of laboratories","WS/MP18078/2026-2027/248997","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","E. TUKARAM","BELLARY(ST)","24-Aug-2026","Bellary Nirmithi Kendra Bellary","Payment In-Progress","1125000"
"185","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2026-2027/275251","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","25-Aug-2026","SURINDER TRADERS","Payment In-Progress","495474"
"186","Punjab","Construction of rooms and halls in school and colleges","WS/MP381/2026-2027/275258","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","25-Aug-2026","SURINDER TRADERS","Payment In-Progress","498148"
"187","Tamil Nadu","Street lights","WS/MP18177/2025-2026/156784","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K E PRAKASH","ERODE","16-Apr-2026","QUALITTY ENTERPRISES","Payment In-Progress","400000"
"188","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","26-Aug-2026","BHAGWATI STEELS","Payment In-Progress","240226"
"189","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","26-Aug-2026","Karan Intelock Tiles","Payment In-Progress","34380"
"190","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","26-Aug-2026","Karan Intelock Tiles","Payment In-Progress","21201"
"191","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294331","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"192","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294330","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"193","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294328","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"194","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294329","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"195","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294341","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"196","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294343","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"197","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294345","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"198","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294347","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"199","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/294348","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"200","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/292846","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"201","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/292853","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"202","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/292854","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"203","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/292847","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","21-Aug-2026","M P  AGRO DHAR","Payment In-Progress","80000"
